"STATE","COUNTY","deaths","population","pop.density","deaths.100k","hisp.latino.pct","black.pct","native.pct","median.age","median.income","pct.public.transpo","high.risk.job","mask.frequent","R.pres.margin","health.condition","avg.temp","mask.mand.days","mask.mand.flag","stay.home.days","stay.home.flag","bars.closed.days","bars.closed.flag","rest.closed.days","rest.closed.flag","county.class"
"AL",89,525,372909,179.616794000934,140.785017256221,4.9,24,0.6,38.5,65449,0.2,22.05,59.08,7.96,44.6,60.5,250,1,26,1,53,1,53,1,2
"AL",9,139,57826,34.6209760786274,240.376301317746,9.3,1.5,0.1,40.7,49358,0.1,38.65,46.09,80,46.3,61.8,250,1,26,1,55,1,55,1,1
"AL",9,139,57826,34.6209760786274,240.376301317746,9.3,1.5,0.1,40.7,49358,0.1,38.65,46.09,80,46.3,61.8,250,1,26,1,55,1,55,1,6
"AL",91,65,18863,7.45527407849824,344.589937973811,1,53.6,0.1,42.2,33241,0,34.26,51.39,-1.33,57.3,65,250,1,26,1,53,1,53,1,7
"AL",93,106,29709,15.4520295098594,356.794237436467,2.6,3.4,0.5,44.3,35930,0,42.77,35.51,77.8,52.1,61.2,250,1,26,1,53,1,53,1,7
"AL",95,230,96774,66.0333660592687,237.667142000951,14,2.7,0.4,38.8,45983,0.4,38.34,48.15,68.71,54.1,61.1,250,1,26,1,53,1,53,1,4
"AL",97,826,413210,129.774395854279,199.898356767745,2.9,35.5,0.8,37.9,47583,0.4,32.65,50.84,11.88,48.9,67.6,250,1,26,1,53,1,53,1,2
"AL",99,41,20733,7.80471925523266,197.75237544012,0.4,42.4,1.7,43.3,30441,0.4,37.33,38.09,15.86,56.8,66.9,250,1,26,1,53,1,53,1,7
"DE",1,346,180786,119.103406427192,191.386501167126,7.1,25.1,0.5,37.7,60910,1.1,31.63,81.15,-4.07,50.1,56.9,329,1,43,1,67,1,67,1,3
"DE",3,836,558753,506.02199345339,149.618883478031,9.9,24.6,0.2,38.4,73892,3.8,22.57,78.73,-37.09,40.5,55.5,329,1,43,1,67,1,67,1,1
"DE",5,497,234225,96.6022280718971,212.189134379336,9.2,11.8,0.3,49.6,63162,0.4,28.1,85.7,11.25,45,58.1,329,1,43,1,67,1,67,1,2
"DC",1,1140,705749,4457.84663095971,161.530515806611,11,45.4,0.2,34,86420,34.7,11.44,74.46,-89.53,32,57.5,311,1,35,1,291,1,74,1,1
"FL",1,285,269043,118.631773945813,105.931022178611,9.9,19.8,0.3,31.6,49689,3.5,18.43,75.27,-27.16,36.6,71.1,0,0,43,1,160,1,45,1,2
"FL",101,802,553947,286.465033024573,144.779193677373,15.2,5.4,0.3,44.5,52828,0.4,25.24,71.08,20.05,48.9,73.9,0,0,31,1,160,1,45,1,1
"FL",103,1671,974996,1375.37832563382,171.385318503871,9.7,9.9,0.2,48.1,54090,1.7,22.92,75.13,-0.22,42.8,74.9,0,0,41,1,160,1,45,1,1
"FL",105,1387,724777,155.658931724459,191.369207356194,22.5,14.7,0.3,40.2,50584,0.5,31.37,63.17,14.43,47,74.4,0,0,31,1,160,1,45,1,2
"FL",107,160,74521,39.5032381791002,214.70457991707,10,16,0.4,45.1,37670,0.3,35.03,58.29,41.2,56.1,72.4,0,0,31,1,160,1,45,1,4
"FL",109,221,264672,170.13468181199,83.4995768347237,7,5.2,0.3,43.7,82252,0.2,19.02,56.32,26.66,38.7,72.4,0,0,31,1,160,1,45,1,1
"FL",11,3079,1952778,626.883337281168,157.67281278261,29.8,27.6,0.2,40.4,59547,2.6,24.55,79.22,-29.8,40.9,77.1,0,0,31,1,181,1,45,1,1
"FL",111,657,328297,221.733353307393,200.123668507479,19,19.3,0.3,45.1,52322,0.4,30.79,64.97,1.56,47.1,75.4,0,0,31,1,160,1,45,1,2
"FL",113,291,184313,70.2919607191729,157.883600180128,5.6,6.1,0.4,39.9,67949,0,26.45,45.57,46.55,47.7,68.1,0,0,31,1,160,1,45,1,2
"FL",115,844,433742,301.201546901069,194.585721465756,9.2,4.3,0.1,56.1,62236,0.8,26.11,70.57,10.44,41.9,74.4,0,0,31,1,160,1,45,1,2
"FL",117,516,471826,588.835276021581,109.362349679755,21.4,11,0.2,39.2,66768,1,20.2,71.84,-2.79,38.9,73.9,0,0,31,1,160,1,45,1,1
"FL",119,284,132420,91.769204713581,214.469113426975,5.7,6.8,0.3,67.4,57226,0.2,26.38,63.03,36.14,49.7,73.3,0,0,31,1,160,1,45,1,3
"FL",121,140,44417,24.9053776759981,315.194632685683,9.3,12.7,0.1,43.3,47839,0,32.36,37.13,56.63,53,68.9,0,0,31,1,160,1,45,1,6
"FL",123,48,21569,7.98194359055625,222.541610644907,6.4,19.9,0.3,42,40306,0,35.68,47.74,53.84,53.3,69.9,0,0,31,1,160,1,45,1,6
"FL",125,74,15237,24.1548673698512,485.659906805802,5.6,21.7,0.8,39.3,44270,1.1,26.72,47.57,65.33,51.5,69.3,0,0,31,1,160,1,45,1,6
"FL",127,846,553284,193.972426160734,152.905198776758,13.9,10.4,0.3,46.6,49494,1,28.77,61.99,14.07,47.6,73.2,0,0,31,1,160,1,45,1,2
"FL",129,56,33739,21.4813841919656,165.980023118646,3.7,15,0.2,40.6,61410,0,24.64,43.17,40.88,44.4,69.5,0,0,31,1,160,1,45,1,2
"FL",13,45,14105,9.59919141447612,319.035802906771,5.8,13,1.1,41.6,38568,0,31.96,50.97,62.29,51.5,69.1,0,0,31,1,160,1,45,1,6
